PeakID (cmd=annotatePeaks.pl repr_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep1_peak_10307	chr6	37172131	37172313	+	60	NA	promoter-TSS (ENST00000468243.5)	protein_coding-promoter-TSS (ENST00000468243.5)	-246	ENST00000468243.5	ENSG00000137193	ENST00000373509			PIM1			protein_coding
rep1_peak_2875	chr12	101697333	101697529	+	60	NA	promoter-TSS (ENST00000229266.8)	protein_coding-promoter-TSS (ENST00000229266.8)	-209	ENST00000229266.8	ENSG00000111666	ENST00000549128			CHPT1			protein_coding
rep1_peak_2693	chr12	49297443	49297608	+	60	NA	TTS (ENST00000451891.4)	protein_coding-TTS (ENST00000451891.4)	404	ENST00000530631.1	ENSG00000135406	ENST00000451891			PRPH			protein_coding
rep1_peak_10795	chr6	146905472	146905780	+	60	NA	intron (ENST00000443712.1, intron 2 of 3)	lncRNA-intron (ENST00000367477.7, intron 8 of 10)	5980	ENST00000443712.1	ENSG00000233452	ENST00000663777			STXBP5-AS1			lncRNA
rep1_peak_10739	chr6	125717463	125717712	+	60	NA	TTS (ENST00000606001.1)	lncRNA-TTS (ENST00000606001.1)	16108	ENST00000670227.1	ENSG00000224506	ENST00000670227			LINC02523			lncRNA
rep1_peak_10922	chr7	3156612	3156810	+	60	NA	intron (ENST00000403226.1, intron 1 of 2)	lncRNA-intron (ENST00000402115.5, intron 2 of 3)	1544	ENST00000457522.4	ENSG00000217455	ENST00000404626			ENSG00000217455			lncRNA
rep1_peak_7132	chr2	227325102	227325244	+	60	NA	promoter-TSS (ENST00000304593.14)	protein_coding-promoter-TSS (ENST00000304593.14)	-9	ENST00000439598.6	ENSG00000236432	ENST00000439598			MFF-DT			lncRNA
rep1_peak_6744	chr2	100322308	100322521	+	60	NA	promoter-TSS (ENST00000393437.8)	protein_coding-promoter-TSS (ENST00000393437.8)	87	ENST00000393437.8	ENSG00000170500	ENST00000393437			LONRF2			protein_coding
rep1_peak_3490	chr14	68468778	68468951	+	60	NA	TTS (ENST00000468382.5)	protein_coding-TTS (ENST00000468382.5)	-3169	ENST00000555782.1	ENSG00000182185	ENST00000555907			RAD51B			protein_coding
rep1_peak_7127	chr2	225843012	225843234	+	60	NA	Intergenic	Intergenic	81564	ENST00000624730.1	ENSG00000279015	ENST00000624730			ENSG00000279015			TEC
rep1_peak_10852	chr6	167203966	167204124	+	60	NA	Intergenic	Intergenic	4852	ENST00000404577.1	ENSG00000216966	ENST00000404577			ENSG00000216966			processed_pseudogene
rep1_peak_717	chr1	114716643	114716911	+	60	NA	promoter-TSS (ENST00000369535.5)	protein_coding-promoter-TSS (ENST00000369535.5)	-6	ENST00000369535.5	ENSG00000213281	ENST00000369535			NRAS			protein_coding
rep1_peak_1532	chr10	30447168	30447433	+	60	NA	intron (ENST00000542547.5, intron 2 of 7)	protein_coding-intron (ENST00000263056.6, intron 3 of 8)	8123	ENST00000430603.1	ENSG00000107968	ENST00000413724			MAP3K8			protein_coding
rep1_peak_6305	chr19	51025035	51025200	+	60	NA	promoter-TSS (ENST00000593681.5)	protein_coding-promoter-TSS (ENST00000593681.5)	699	ENST00000598799.5	ENSG00000167757	ENST00000600362			KLK11			protein_coding
rep1_peak_11629	chr8	17922529	17922793	+	60	NA	promoter-TSS (ENST00000325083.13)	protein_coding-promoter-TSS (ENST00000325083.13)	-181	ENST00000522275.6	ENSG00000078674	ENST00000517836			PCM1			protein_coding
rep1_peak_2692	chr12	49234516	49234671	+	60	NA	intron (ENST00000549023.2, intron 1 of 1)	protein_coding-intron (ENST00000541364.5, intron 1 of 3)	6550	ENST00000552125.1	ENSG00000167553	ENST00000541364			TUBA1C			protein_coding
rep1_peak_4985	chr17	17840365	17840660	+	60	NA	Intergenic	Intergenic	-3510	ENST00000395757.6	ENSG00000072310	ENST00000486311			SREBF1			protein_coding
rep1_peak_2120	chr11	34640265	34640595	+	60	NA	intron (ENST00000531794.5, intron 1 of 8)	protein_coding-intron (ENST00000257831.8, intron 1 of 8)	-1747	ENST00000529161.1	ENSG00000135373	ENST00000527935			EHF			protein_coding
rep1_peak_7889	chr21	26022851	26023108	+	60	NA	intron (ENST00000707132.1, intron 6 of 16)	protein_coding-intron (ENST00000346798.8, intron 5 of 17)	28039	ENST00000491395.5	ENSG00000142192	ENST00000462267			APP			protein_coding
rep1_peak_2476	chr11	120710503	120710685	+	60	NA	intron (ENST00000638419.1, intron 3 of 20)	protein_coding-intron (ENST00000438375.2, intron 2 of 19)	-90327	ENST00000529735.1	ENSG00000255006	ENST00000529735			ELOCP22			processed_pseudogene
rep1_peak_4428	chr16	26484157	26484334	+	60	NA	Intergenic	Intergenic	-62557	ENST00000661508.1	ENSG00000286712	ENST00000661508			ENSG00000286712			lncRNA
rep1_peak_4692	chr16	69339541	69339761	+	60	NA	promoter-TSS (ENST00000254940.10)	protein_coding-promoter-TSS (ENST00000254940.10)	-68	ENST00000562081.2	ENSG00000213380	ENST00000567493			COG8			protein_coding
rep1_peak_12286	chr9	75088539	75088697	+	60	NA	promoter-TSS (ENST00000361092.9)	protein_coding-promoter-TSS (ENST00000361092.9)	104	ENST00000346234.7	ENSG00000134996	ENST00000346234			OSTF1			protein_coding
rep1_peak_8950	chr3	197372459	197372696	+	60	NA	intron (ENST00000700789.1, intron 1 of 2)	lncRNA-intron (ENST00000700789.1, intron 1 of 2)	2893	ENST00000700789.1	ENSG00000289828	ENST00000700789			ENSG00000289828			lncRNA
rep1_peak_11939	chr8	102808256	102808670	+	60	NA	promoter-TSS (ENST00000665815.1)	lncRNA-promoter-TSS (ENST00000665815.1)	-72	ENST00000665815.1	ENSG00000253669	ENST00000663613			GASAL1			lncRNA
rep1_peak_10365	chr6	45377683	45377900	+	60	NA	promoter-TSS (ENST00000459689.1)	protein_coding-promoter-TSS (ENST00000459689.1)	142	ENST00000371460.5	ENSG00000196284	ENST00000459689			SUPT3H			protein_coding
rep1_peak_6817	chr2	113876536	113876796	+	60	NA	intron (ENST00000689404.1, intron 1 of 3)	lncRNA-intron (ENST00000689404.1, intron 1 of 3)	13101	ENST00000602760.2	ENSG00000270019	ENST00000602760			ENSG00000270019			lncRNA
rep1_peak_4627	chr16	53433640	53433842	+	60	NA	promoter-TSS (ENST00000262133.11)	protein_coding-promoter-TSS (ENST00000262133.11)	-236	ENST00000567964.6	ENSG00000103479	ENST00000379935			RBL2			protein_coding
rep1_peak_1494	chr10	17201448	17201747	+	60	NA	promoter-TSS (ENST00000354631.7)	protein_coding-promoter-TSS (ENST00000354631.7)	-17	ENST00000424636.2	ENSG00000107614	ENST00000452380			TRDMT1			protein_coding
rep1_peak_8874	chr3	182723774	182723975	+	60	NA	Intergenic	Intergenic	16974	ENST00000565024.1	ENSG00000260377	ENST00000565024			ENSG00000260377			lncRNA
rep1_peak_2596	chr12	28998661	28998861	+	60	NA	Intergenic	Intergenic	20177	ENST00000614376.1	ENSG00000278687	ENST00000614376			ENSG00000278687			processed_pseudogene
rep1_peak_305	chr1	3773050	3773215	+	60	NA	exon (ENST00000444870.7, exon 2 of 4)	protein_coding-exon (ENST00000444870.7, exon 2 of 4)	307	ENST00000452264.1	ENSG00000235169	ENST00000452264			SMIM1			protein_coding
rep1_peak_2399	chr11	86776308	86776553	+	60	NA	Intergenic	Intergenic	-14629	ENST00000527521.1	ENSG00000150687	ENST00000532234			PRSS23			protein_coding
rep1_peak_492	chr1	36088754	36088937	+	60	NA	promoter-TSS (ENST00000373178.5)	protein_coding-promoter-TSS (ENST00000373178.5)	-47	ENST00000373178.5	ENSG00000116863	ENST00000373178			ADPRS			protein_coding
rep1_peak_7173	chr2	237085792	237086050	+	60	NA	promoter-TSS (ENST00000354371.7)	protein_coding-promoter-TSS (ENST00000354371.7)	12	ENST00000419015.1	ENSG00000198612	ENST00000465362			COPS8			protein_coding
rep1_peak_10778	chr6	140174591	140174830	+	60	NA	intron (ENST00000683950.1, intron 1 of 1)	lncRNA-intron (ENST00000683950.1, intron 1 of 1)	-16016	ENST00000516298.1	ENSG00000252107	ENST00000516298			RNA5SP220			rRNA_pseudogene
rep1_peak_2015	chr11	1150893	1151143	+	60	NA	Intergenic	Intergenic	-6935	ENST00000621226.2	ENSG00000215182	ENST00000621226			MUC5AC			protein_coding
rep1_peak_8836	chr3	161291220	161291534	+	60	NA	Intergenic	Intergenic	34842	ENST00000467631.1	ENSG00000240138	ENST00000467631			EEF1GP4			processed_pseudogene
rep1_peak_7115	chr2	219722476	219722795	+	60	NA	intron (ENST00000606673.1, intron 1 of 1)	lncRNA-intron (ENST00000606673.1, intron 1 of 1)	-7475	ENST00000442416.1	ENSG00000227308	ENST00000607654			LINC02832			lncRNA
rep1_peak_6656	chr2	82140070	82140302	+	60	NA	Intergenic	Intergenic	-128426	ENST00000517088.1	ENSG00000252897	ENST00000517088			RNU6-685P			snRNA
rep1_peak_8024	chr21	46201234	46201499	+	59	NA	intron (ENST00000522411.5, intron 17 of 21)	protein_coding-intron (ENST00000356396.8, intron 17 of 22)	-4995	ENST00000484808.1	ENSG00000160285	ENST00000457828			LSS			protein_coding
rep1_peak_12171	chr9	37800655	37800819	+	59	NA	promoter-TSS (ENST00000377724.8)	protein_coding-promoter-TSS (ENST00000377724.8)	-28	ENST00000489414.5	ENSG00000107371	ENST00000465860			EXOSC3			protein_coding
rep1_peak_8211	chr22	37674991	37675227	+	59	NA	promoter-TSS (ENST00000215909.10)	protein_coding-promoter-TSS (ENST00000215909.10)	-527	ENST00000215909.10	ENSG00000100097	ENST00000480207			LGALS1			protein_coding
rep1_peak_2585	chr12	22544450	22544735	+	59	NA	promoter-TSS (ENST00000333957.8)	protein_coding-promoter-TSS (ENST00000333957.8)	-46	ENST00000333957.8	ENSG00000111731	ENST00000542676			C2CD5			protein_coding
rep1_peak_12079	chr8	143976339	143976634	+	59	NA	TTS (ENST00000313028.12)	protein_coding-TTS (ENST00000313028.12)	248	ENST00000527303.2	ENSG00000178209	ENST00000357649			PLEC			protein_coding
rep1_peak_7216	chr2	241191119	241191437	+	59	NA	intron (ENST00000402530.8, intron 3 of 3)	protein_coding-intron (ENST00000274979.12, intron 3 of 24)	2601	ENST00000402530.8	ENSG00000146205	ENST00000475532			ANO7			protein_coding
rep1_peak_2873	chr12	101608453	101608679	+	59	NA	intron (ENST00000551300.5, intron 2 of 31)	protein_coding-intron (ENST00000361466.7, intron 1 of 31)	-8613	ENST00000552198.5	ENSG00000196091	ENST00000552198			MYBPC1			protein_coding
rep1_peak_1873	chr10	119023329	119023482	+	59	NA	intron (ENST00000663084.1, intron 2 of 3)	lncRNA-intron (ENST00000663084.1, intron 2 of 3)	6139	ENST00000663084.1	ENSG00000229272	ENST00000437838			LINC03036			lncRNA
rep1_peak_6675	chr2	86807501	86807714	+	59	NA	promoter-TSS (ENST00000699437.1)	protein_coding-promoter-TSS (ENST00000699437.1)	-16	ENST00000699439.1	ENSG00000153563	ENST00000283635			CD8A			protein_coding
rep1_peak_12078	chr8	143956486	143956897	+	59	NA	intron (ENST00000532346.1, intron 1 of 3)	protein_coding-intron (ENST00000356346.7, intron 1 of 31)	2108	ENST00000685198.1	ENSG00000178209	ENST00000357649			PLEC			protein_coding
rep1_peak_10149	chr6	10383589	10383841	+	59	NA	Intergenic	Intergenic	-17133	ENST00000405921.2	ENSG00000216781	ENST00000405921			RPL7L1P20			processed_pseudogene
rep1_peak_539	chr1	44986518	44986727	+	59	NA	promoter-TSS (ENST00000360403.7)	protein_coding-promoter-TSS (ENST00000360403.7)	-23	ENST00000480675.5	ENSG00000070785	ENST00000487532			EIF2B3			protein_coding
rep1_peak_13	GL000220.1	101751	101967	+	59	NA	Intergenic	Intergenic	-3428	ENST00000619317.1	ENSG00000276197	ENST00000619317			ENSG00000276197			misc_RNA
rep1_peak_1265	chr1	220046497	220046781	+	59	NA	promoter-TSS (ENST00000366923.8)	protein_coding-promoter-TSS (ENST00000366923.8)	-109	ENST00000477030.2	ENSG00000136628	ENST00000366923			EPRS1			protein_coding
rep1_peak_9288	chr4	105708627	105708772	+	59	NA	promoter-TSS (ENST00000340139.10)	protein_coding-promoter-TSS (ENST00000340139.10)	-10	ENST00000340139.10	ENSG00000138785	ENST00000451321			INTS12			protein_coding
rep1_peak_3925	chr15	56246120	56246292	+	59	NA	intron (ENST00000560827.6, intron 1 of 10)	protein_coding-intron (ENST00000560827.6, intron 1 of 10)	-1124	ENST00000674082.1	ENSG00000181827	ENST00000559847			RFX7			protein_coding
rep1_peak_11183	chr7	68813627	68813984	+	59	NA	Intergenic	Intergenic	-89757	ENST00000410496.1	ENSG00000222428	ENST00000410496			RNA5SP231			rRNA_pseudogene
rep1_peak_8422	chr3	40524680	40525002	+	59	NA	promoter-TSS (ENST00000310898.5)	protein_coding-promoter-TSS (ENST00000310898.5)	-37	ENST00000310898.5	ENSG00000172888	ENST00000403205			ZNF621			protein_coding
rep1_peak_7566	chr20	50279059	50279304	+	59	NA	TTS (ENST00000421019.1)	lncRNA-TTS (ENST00000421019.1)	1647	ENST00000421019.1	ENSG00000224397	ENST00000663009			PELATON			lncRNA
rep1_peak_11052	chr7	44848338	44848605	+	59	NA	promoter-TSS (ENST00000222690.10)	protein_coding-promoter-TSS (ENST00000222690.10)	55	ENST00000443162.1	ENSG00000234183	ENST00000450016			H2AZ2-DT			lncRNA
rep1_peak_5398	chr17	74982104	74982295	+	59	NA	Intergenic	Intergenic	-5433	ENST00000337231.5	ENSG00000109089	ENST00000337231			CDR2L			protein_coding
rep1_peak_3158	chr13	43975736	43975867	+	59	NA	intron (ENST00000627615.1, intron 9 of 12)	lncRNA-intron (ENST00000439707.6, intron 2 of 4)	7377	ENST00000378718.2	ENSG00000179611	ENST00000378718			DGKZP1			processed_pseudogene
rep1_peak_5408	chr17	75525304	75525493	+	59	NA	promoter-TSS (ENST00000167462.9)	protein_coding-promoter-TSS (ENST00000167462.9)	-299	ENST00000392550.8	ENSG00000073350	ENST00000375227			LLGL2			protein_coding
rep1_peak_189	KI270744.1	116456	116629	+	59	NA	Intergenic	Intergenic	-65428	ENST00000616830.1	ENSG00000278625	ENST00000616830			U6			snRNA
rep1_peak_8205	chr22	37197865	37198072	+	59	NA	promoter-TSS (ENST00000467564.5)	protein_coding-promoter-TSS (ENST00000467564.5)	-220	ENST00000467564.5	ENSG00000133466	ENST00000397110			C1QTNF6			protein_coding
rep1_peak_7539	chr20	47455355	47455561	+	59	NA	Intergenic	Intergenic	23552	ENST00000425552.1	ENSG00000234075	ENST00000425552			RPL35AP			processed_pseudogene
rep1_peak_10781	chr6	142147027	142147384	+	59	NA	promoter-TSS (ENST00000258042.2)	protein_coding-promoter-TSS (ENST00000258042.2)	43	ENST00000452973.6	ENSG00000009844	ENST00000452973			VTA1			protein_coding
rep1_peak_13066	chrX	152895794	152896009	+	59	NA	Intergenic	Intergenic	-2166	ENST00000695776.1	ENSG00000147394	ENST00000447792			ZNF185			protein_coding
rep1_peak_8025	chr21	46228874	46229051	+	58	NA	promoter-TSS (ENST00000356396.8)	protein_coding-promoter-TSS (ENST00000356396.8)	-138	ENST00000457828.6	ENSG00000160285	ENST00000457828			LSS			protein_coding
rep1_peak_2745	chr12	55829675	55829809	+	58	NA	promoter-TSS (ENST00000546957.2)	protein_coding-promoter-TSS (ENST00000546957.2)	134	ENST00000478241.6	ENSG00000293491	ENST00000487582			TMEM198B			lncRNA
rep1_peak_4232	chr16	1705931	1706304	+	58	NA	promoter-TSS (ENST00000250894.8)	protein_coding-promoter-TSS (ENST00000250894.8)	-49	ENST00000685674.1	ENSG00000138834	ENST00000568774			MAPK8IP3			protein_coding
rep1_peak_4828	chr16	88634412	88634978	+	58	NA	Intergenic	Intergenic	-3877	ENST00000244241.5	ENSG00000124391	ENST00000569133			IL17C			protein_coding
rep1_peak_4123	chr15	85234639	85235041	+	58	NA	promoter-TSS (ENST00000558470.1)	lncRNA-promoter-TSS (ENST00000558470.1)	-45	ENST00000560811.5	ENSG00000291210	ENST00000560756			ENSG00000291210			lncRNA
rep1_peak_7538	chr20	47453522	47453723	+	58	NA	Intergenic	Intergenic	25388	ENST00000425552.1	ENSG00000234075	ENST00000425552			RPL35AP			processed_pseudogene
rep1_peak_7571	chr20	50451264	50451586	+	58	NA	Intergenic	Intergenic	-21942	ENST00000497504.3	ENSG00000244376	ENST00000497504			RN7SL636P			misc_RNA
rep1_peak_3570	chr14	90396887	90397122	+	58	NA	promoter-TSS (ENST00000356978.9)	protein_coding-promoter-TSS (ENST00000356978.9)	-25	ENST00000356978.9	ENSG00000198668	ENST00000553964			CALM1			protein_coding
rep1_peak_11343	chr7	101608868	101609061	+	58	NA	Intergenic	Intergenic	15739	ENST00000706943.1	ENSG00000106436	ENST00000223167			MYL10			protein_coding
rep1_peak_11379	chr7	103347547	103347738	+	58	NA	promoter-TSS (ENST00000292644.5)	protein_coding-promoter-TSS (ENST00000292644.5)	-1	ENST00000292644.5	ENSG00000161057	ENST00000678493			PSMC2			protein_coding
rep1_peak_8747	chr3	134327704	134327850	+	58	NA	exon (ENST00000702198.1, exon 2 of 2)	lncRNA-exon (ENST00000702198.1, exon 2 of 2)	14201	ENST00000482019.1	ENSG00000240006	ENST00000482019			LINC02004			lncRNA
rep1_peak_12551	chr9	133873276	133873506	+	58	NA	intron (ENST00000486113.1, intron 2 of 2)	protein_coding-intron (ENST00000371850.8, intron 2 of 29)	65910	ENST00000472905.1	ENSG00000160293	ENST00000371851			VAV2			protein_coding
rep1_peak_89	KI270713.1	21159	21352	+	58	NA	TTS (ENST00000619109.1)	snRNA-TTS (ENST00000619109.1)	769	ENST00000619109.1	ENSG00000275405	ENST00000619109			U1			snRNA
rep1_peak_7592	chr20	54123595	54123922	+	58	NA	Intergenic	Intergenic	33540	ENST00000460643.1	ENSG00000019186	ENST00000395954			CYP24A1			protein_coding
rep1_peak_5272	chr17	50534359	50534526	+	58	NA	promoter-TSS (ENST00000507467.1)	protein_coding-promoter-TSS (ENST00000507467.1)	-50	ENST00000507709.1	ENSG00000049283	ENST00000514874			EPN3			protein_coding
rep1_peak_3434	chr14	52791369	52791601	+	58	NA	promoter-TSS (ENST00000554230.5)	protein_coding-promoter-TSS (ENST00000554230.5)	-2	ENST00000650397.1	ENSG00000100522	ENST00000650397			GNPNAT1			protein_coding
rep1_peak_4330	chr16	14996916	14997092	+	58	NA	promoter-TSS (ENST00000450288.3)	protein_coding-promoter-TSS (ENST00000450288.3)	-744	ENST00000450288.3	ENSG00000179889	ENST00000569715			PDXDC1			protein_coding
rep1_peak_2235	chr11	65497547	65497890	+	58	NA	promoter-TSS (ENST00000534336.3)	lncRNA-promoter-TSS (ENST00000534336.3)	10	ENST00000710852.1	ENSG00000251562	ENST00000710927			MALAT1			lncRNA
rep1_peak_11966	chr8	123516882	123517049	+	57	NA	intron (ENST00000521719.5, intron 4 of 5)	protein_coding-intron (ENST00000287396.2, intron 1 of 5)	-10340	ENST00000524000.5	ENSG00000156804	ENST00000521719			FBXO32			protein_coding
rep1_peak_4946	chr17	8249178	8249366	+	57	NA	promoter-TSS (ENST00000314666.11)	protein_coding-promoter-TSS (ENST00000314666.11)	-14	ENST00000580356.5	ENSG00000178921	ENST00000580356			PFAS			protein_coding
rep1_peak_498	chr1	37990066	37990308	+	57	NA	promoter-TSS (ENST00000373019.5)	protein_coding-promoter-TSS (ENST00000373019.5)	-112	ENST00000461869.5	ENSG00000183431	ENST00000461869			SF3A3			protein_coding
rep1_peak_3579	chr14	92348239	92348411	+	57	NA	intron (ENST00000676001.1, intron 3 of 17)	protein_coding-intron (ENST00000393265.6, intron 2 of 16)	25132	ENST00000531433.5	ENSG00000140090	ENST00000526482			SLC24A4			protein_coding
rep1_peak_2907	chr12	109477492	109477691	+	57	NA	promoter-TSS (ENST00000228495.11)	protein_coding-promoter-TSS (ENST00000228495.11)	-37	ENST00000539843.5	ENSG00000151148	ENST00000449510			UBE3B			protein_coding
rep1_peak_6967	chr2	165954150	165954315	+	57	NA	promoter-TSS (ENST00000243344.8)	protein_coding-promoter-TSS (ENST00000243344.8)	-381	ENST00000680888.1	ENSG00000123607	ENST00000679671			TTC21B			protein_coding
rep1_peak_8906	chr3	189937697	189937954	+	57	NA	Intergenic	Intergenic	26296	ENST00000490940.1	ENSG00000090530	ENST00000427335			P3H2			protein_coding
rep1_peak_5868	chr19	12722681	12722979	+	57	NA	promoter-TSS (ENST00000356861.9)	protein_coding-promoter-TSS (ENST00000356861.9)	-258	ENST00000592287.5	ENSG00000105576	ENST00000588491			TNPO2			protein_coding
rep1_peak_5495	chr17	82292627	82292845	+	57	NA	promoter-TSS (ENST00000566986.1)	lncRNA-promoter-TSS (ENST00000566986.1)	78	ENST00000581489.1	ENSG00000265692	ENST00000581489			LINC01970			lncRNA
rep1_peak_270	chr1	1676441	1676835	+	57	NA	exon (ENST00000481276.1, exon 2 of 5)	protein_coding-exon (ENST00000481276.1, exon 2 of 5)	3363	ENST00000597891.1	ENSG00000269737	ENST00000597891			ENSG00000269737			transcribed_processed_pseudogene
rep1_peak_5485	chr17	81703243	81703477	+	57	NA	promoter-TSS (ENST00000333676.8)	protein_coding-promoter-TSS (ENST00000333676.8)	-7	ENST00000333676.8	ENSG00000262814	ENST00000333676			MRPL12			protein_coding
rep1_peak_8465	chr3	50265165	50265440	+	57	NA	Intergenic	Intergenic	2234	ENST00000686401.2	ENSG00000232352	ENST00000686401			SEMA3B-AS1			lncRNA
rep1_peak_9215	chr4	76051494	76051713	+	57	NA	intron (ENST00000504914.5, intron 1 of 2)	protein_coding-intron (ENST00000341029.9, intron 1 of 9)	-10188	ENST00000503860.1	ENSG00000169248	ENST00000306621			CXCL11			protein_coding
rep1_peak_4246	chr16	2163207	2163750	+	57	NA	promoter-TSS (ENST00000567645.2)	protein_coding-promoter-TSS (ENST00000567645.2)	-64	ENST00000567645.2	ENSG00000131653	ENST00000569686			TRAF7			protein_coding
rep1_peak_1868	chr10	117838172	117838426	+	57	NA	Intergenic	Intergenic	-7055	ENST00000665056.1	ENSG00000263041	ENST00000665056			ENSG00000263041			lncRNA
rep1_peak_1877	chr10	119596848	119597183	+	57	NA	promoter-TSS (ENST00000369093.6)	protein_coding-promoter-TSS (ENST00000369093.6)	14	ENST00000497671.5	ENSG00000151923	ENST00000489822			TIAL1			protein_coding
rep1_peak_13013	chrX	130903141	130903400	+	57	NA	promoter-TSS (ENST00000338144.8)	protein_coding-promoter-TSS (ENST00000338144.8)	-36	ENST00000370935.5	ENSG00000165675	ENST00000370935			ENOX2			protein_coding
rep1_peak_2060	chr11	14520300	14520482	+	57	NA	promoter-TSS (ENST00000396394.7)	protein_coding-promoter-TSS (ENST00000396394.7)	-5	ENST00000396394.7	ENSG00000129084	ENST00000531023			PSMA1			protein_coding
rep1_peak_5378	chr17	73795754	73795932	+	57	NA	intron (ENST00000669327.1, intron 2 of 2)	lncRNA-intron (ENST00000321800.11, intron 2 of 3)	6597	ENST00000656457.1	ENSG00000234721	ENST00000669327			LINC02092			lncRNA
rep1_peak_11555	chr7	157138812	157138977	+	57	NA	promoter-TSS (ENST00000348165.10)	protein_coding-promoter-TSS (ENST00000348165.10)	-32	ENST00000348165.10	ENSG00000009335	ENST00000469336			UBE3C			protein_coding
rep1_peak_8885	chr3	184565709	184565973	+	56	NA	intron (ENST00000330394.3, intron 1 of 15)	protein_coding-intron (ENST00000330394.3, intron 1 of 15)	4056	ENST00000330394.3	ENSG00000182580	ENST00000473079			EPHB3			protein_coding
rep1_peak_7656	chr20	63224761	63224960	+	56	NA	Intergenic	Intergenic	6819	ENST00000615354.1	ENSG00000273821	ENST00000615354			ENSG00000273821			lncRNA
rep1_peak_4017	chr15	74374228	74374517	+	56	NA	promoter-TSS (ENST00000611178.1)	lncRNA-promoter-TSS (ENST00000611178.1)	-306	ENST00000611178.1	ENSG00000274937	ENST00000611178			ENSG00000274937			lncRNA
rep1_peak_2249	chr11	66081593	66081778	+	56	NA	intron (ENST00000527224.1, intron 1 of 6)	protein_coding-intron (ENST00000320580.9, intron 1 of 23)	-2288	ENST00000533756.5	ENSG00000175115	ENST00000531298			PACS1			protein_coding
rep1_peak_4006	chr15	72474124	72474305	+	56	NA	promoter-TSS (ENST00000379887.9)	protein_coding-promoter-TSS (ENST00000379887.9)	-5	ENST00000562573.1	ENSG00000261423	ENST00000701684			TMEM202-AS1			lncRNA
rep1_peak_3125	chr13	30744389	30744542	+	56	NA	TTS (ENST00000479597.1)	protein_coding-TTS (ENST00000479597.1)	2129	ENST00000479597.1	ENSG00000132965	ENST00000479597			ALOX5AP			protein_coding
rep1_peak_12042	chr8	142031427	142031646	+	56	NA	Intergenic	Intergenic	-58291	ENST00000562989.1	ENSG00000261710	ENST00000562989			ENSG00000261710			lncRNA
rep1_peak_12359	chr9	94166594	94166885	+	56	NA	promoter-TSS (ENST00000711292.1)	lncRNA-promoter-TSS (ENST00000711292.1)	450	ENST00000602703.1	ENSG00000269929	ENST00000657255			MIRLET7A1HG			lncRNA
rep1_peak_12481	chr9	126673790	126673983	+	56	NA	intron (ENST00000526117.6, intron 2 of 7)	protein_coding-intron (ENST00000355497.10, intron 2 of 7)	30805	ENST00000671261.1	ENSG00000286428	ENST00000671261			ENSG00000286428			lncRNA
rep1_peak_73	KI270330.1	71	486	+	56	NA	NA	NA	NA	NA								
rep1_peak_912	chr1	144980344	144980508	+	56	NA	intron (ENST00000619678.2, intron 3 of 10)	protein_coding-intron (ENST00000612199.4, intron 3 of 9)	15401	ENST00000604134.1	ENSG00000271644	ENST00000604134			ENSG00000271644			processed_pseudogene
rep1_peak_6764	chr2	108719264	108719500	+	56	NA	promoter-TSS (ENST00000283195.11)	protein_coding-promoter-TSS (ENST00000283195.11)	-100	ENST00000283195.11	ENSG00000153201	ENST00000697748			RANBP2			protein_coding
rep1_peak_9002	chr4	3338498	3338709	+	56	NA	intron (ENST00000514268.5, intron 1 of 6)	protein_coding-intron (ENST00000336727.8, intron 2 of 17)	-3812	ENST00000513784.7	ENSG00000159788	ENST00000502947			RGS12			protein_coding
rep1_peak_8881	chr3	184135214	184135516	+	55	NA	promoter-TSS (ENST00000432569.2)	protein_coding-promoter-TSS (ENST00000432569.2)	0	ENST00000432569.2	ENSG00000145191	ENST00000465218			EIF2B5			protein_coding
rep1_peak_8023	chr21	46116982	46117267	+	55	NA	intron (ENST00000485591.1, intron 6 of 6)	protein_coding-intron (ENST00000300527.9, intron 10 of 27)	-3436	ENST00000413758.1	ENSG00000142173	ENST00000300527			COL6A2			protein_coding
rep1_peak_4313	chr16	14703188	14703615	+	55	NA	promoter-TSS (ENST00000531598.7)	protein_coding-promoter-TSS (ENST00000531598.7)	-10	ENST00000531598.7	ENSG00000224712	ENST00000531598			NPIPA3			protein_coding
rep1_peak_5096	chr17	31655116	31655244	+	55	NA	Intergenic	Intergenic	-54388	ENST00000578645.1	ENSG00000266448	ENST00000578645			ENSG00000266448			processed_pseudogene
rep1_peak_3969	chr15	66504813	66505212	+	55	NA	promoter-TSS (ENST00000307897.10)	protein_coding-promoter-TSS (ENST00000307897.10)	53	ENST00000535141.6	ENSG00000174442	ENST00000561583			ZWILCH			protein_coding
rep1_peak_12881	chrX	85529662	85529805	+	55	NA	Intergenic	Intergenic	-150016	ENST00000373145.3	ENSG00000124429	ENST00000262753			POF1B			protein_coding
